Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
non,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
not,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ning,syllable,regular,CVN,syllable,1,1,0.0000642508,0.0000071895,4,15,0.0002780095,0.0000954830,3,6,0.0000686342,0.0000057351,
nik,syllable,regular,CVS,syllable,2,5,0.0001285017,0.0000143790,2,5,0.0001390047,0.0000318277,1,2,0.0000228781,0.0000019117,
neng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
noeng,syllable,regular,CVN,syllable,2,16,0.0001285017,0.0000143790,1,2,0.0000695024,0.0000127311,1,1,0.0000228781,0.0000009559,
noek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nang,syllable,regular,CVN,syllable,2,2,0.0001285017,0.0000143790,17,280,0.0011815402,0.0017823496,7,13,0.0001601464,0.0000124261,
nak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
naang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
naak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nong,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,1,2,0.0000695024,0.0000127311,4,5,0.0000915122,0.0000047793,
nok,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,1,4,0.0000695024,0.0000254621,3,3,0.0000686342,0.0000028676,
nung,syllable,regular,CVN,syllable,1,1,0.0000642508,0.0000071895,4,8,0.0002780095,0.0000509243,9,10,0.0002059025,0.0000095586,
nuk,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngi,syllable,impossible,CV,syllable,2,2,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nge,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngoe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
