Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
wuk,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
li,syllable,colloquial,CV,syllable,10,952,0.0006425084,0.0000718949,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559,
le,syllable,colloquial,CV,syllable,18,3769,0.0011565150,0.0001294107,3,5,0.0002085071,0.0000318277,22,4869,0.0005033173,0.0046540615,
lyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
loe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,3,7,0.0002085071,0.0000445587,0,0,0.0000000000,0.0000000000,
lu,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,1,2,0.0000695024,0.0000127311,0,0,0.0000000000,0.0000000000,
lo,syllable,regular,CV,syllable,8,709,0.0005140067,0.0000575159,23,1607,0.0015985544,0.0102294139,96,10826,0.0021962938,0.0103480940,
laa,syllable,colloquial,CV,syllable,26,1425,0.0016705217,0.0001869266,24,2346,0.0016680567,0.0149335438,80,14993,0.0018302448,0.0143311447,
lei,syllable,regular,CVV,syllable,156,3727,0.0100231303,0.0011215598,90,349,0.0062552127,0.0022215715,254,29116,0.0058110272,0.0278306950,
leoi,syllable,regular,CVV,syllable,46,418,0.0029555384,0.0003307164,35,205,0.0024325827,0.0013049346,127,1604,0.0029055136,0.0015331926,
lui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
loi,syllable,regular,CVV,syllable,47,236,0.0030197893,0.0003379058,25,151,0.0017375591,0.0009611957,122,2078,0.0027911233,0.0019862682,
lai,syllable,regular,CVV,syllable,28,179,0.0017990234,0.0002013056,59,887,0.0041006394,0.0056462291,189,4343,0.0043239533,0.0041512814,
laai,syllable,regular,CVV,syllable,11,35,0.0007067592,0.0000790843,8,20,0.0005560189,0.0001273107,53,413,0.0012125372,0.0003947684,
liu,syllable,regular,CVV,syllable,18,58,0.0011565150,0.0001294107,19,61,0.0013205449,0.0003882976,80,1182,0.0018302448,0.0011298215,
leu,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
lou,syllable,regular,CVV,syllable,55,197,0.0035337959,0.0003954217,93,328,0.0064637198,0.0020878953,374,3323,0.0085563944,0.0031763085,
lau,syllable,regular,CVV,syllable,54,122,0.0034695451,0.0003882322,46,112,0.0031971087,0.0007129399,206,1127,0.0047128803,0.0010772494,
laau,syllable,regular,CVV,syllable,2,12,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,20,166,0.0004575612,0.0001586720,
lim,syllable,regular,CVN,syllable,12,57,0.0007710100,0.0000862738,3,3,0.0002085071,0.0000190966,15,42,0.0003431709,0.0000401459,
lip,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,1,1,0.0000228781,0.0000009559,
lem,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lam,syllable,regular,CVN,syllable,14,332,0.0008995117,0.0001006528,19,40,0.0013205449,0.0002546214,121,1643,0.0027682453,0.0015704709,
lap,syllable,regular,CVS,syllable,6,13,0.0003855050,0.0000431369,9,31,0.0006255213,0.0001973316,31,110,0.0007092199,0.0001051441,
laam,syllable,regular,CVN,syllable,23,185,0.0014777692,0.0001653582,12,19,0.0008340284,0.0001209452,144,780,0.0032944406,0.0007455675,
laap,syllable,regular,CVS,syllable,21,56,0.0013492675,0.0001509792,13,17,0.0009035307,0.0001082141,34,139,0.0007778540,0.0001328639,
lin,syllable,regular,CVN,syllable,79,272,0.0050758160,0.0005679694,22,54,0.0015290520,0.0003437389,148,2036,0.0033859529,0.0019461222,
lit,syllable,regular,CVS,syllable,3,3,0.0001927525,0.0000215685,9,17,0.0006255213,0.0001082141,9,16,0.0002059025,0.0000152937,
len,syllable,impossible,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
let,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lyun,syllable,regular,CVN,syllable,30,86,0.0019275251,0.0002156846,13,41,0.0009035307,0.0002609869,64,282,0.0014641958,0.0002695513,
lyut,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,2,8,0.0001390047,0.0000509243,1,2,0.0000228781,0.0000019117,
leon,syllable,regular,CVN,syllable,22,93,0.0014135184,0.0001581687,26,54,0.0018070614,0.0003437389,47,210,0.0010752688,0.0002007297,
leot,syllable,regular,CVS,syllable,13,74,0.0008352609,0.0000934633,11,26,0.0007645260,0.0001655039,19,42,0.0004346831,0.0000401459,
lan,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,5,0.0000228781,0.0000047793,
lat,syllable,colloquial,CVS,syllable,3,3,0.0001927525,0.0000215685,4,19,0.0002780095,0.0001209452,2,27,0.0000457561,0.0000258081,
laan,syllable,regular,CVN,syllable,22,79,0.0014135184,0.0001581687,24,58,0.0016680567,0.0003692010,82,678,0.0018760009,0.0006480702,
laat,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,9,18,0.0006255213,0.0001145796,9,79,0.0002059025,0.0000755126,
lon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
lut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ling,syllable,regular,CVN,syllable,55,228,0.0035337959,0.0003954217,55,198,0.0038226300,0.0012603758,119,675,0.0027224891,0.0006452026,
lik,syllable,regular,CVS,syllable,40,143,0.0025700334,0.0002875794,41,102,0.0028495969,0.0006492845,82,359,0.0018760009,0.0003431522,
leng,syllable,regular,CVN,syllable,9,16,0.0005782575,0.0000647054,19,159,0.0013205449,0.0010121200,59,1366,0.0013498055,0.0013056989,
lek,syllable,regular,CVS,syllable,1,8,0.0000642508,0.0000071895,2,23,0.0001390047,0.0001464073,8,127,0.0001830245,0.0001213937,
loeng,syllable,regular,CVN,syllable,79,289,0.0050758160,0.0005679694,40,292,0.0027800945,0.0018587361,167,3072,0.0038206360,0.0029363888,
loek,syllable,regular,CVS,syllable,5,7,0.0003212542,0.0000359474,4,5,0.0002780095,0.0000318277,5,6,0.0001143903,0.0000057351,
lang,syllable,colloquial,CVN,syllable,14,391,0.0008995117,0.0001006528,2,4,0.0001390047,0.0000254621,16,1697,0.0003660490,0.0016220871,
lak,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559,
laang,syllable,regular,CVN,syllable,7,11,0.0004497558,0.0000503264,15,35,0.0010425354,0.0002227937,22,55,0.0005033173,0.0000525721,
laak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,4,416,0.0002780095,0.0026480623,4,4,0.0000915122,0.0000038234,
long,syllable,regular,CVN,syllable,13,17,0.0008352609,0.0000934633,14,26,0.0009730331,0.0001655039,33,148,0.0007549760,0.0001414666,
lok,syllable,regular,CVS,syllable,33,160,0.0021202776,0.0002372530,40,198,0.0027800945,0.0012603758,152,1552,0.0034774651,0.0014834881,
lung,syllable,regular,CVN,syllable,11,20,0.0007067592,0.0000790843,26,52,0.0018070614,0.0003310078,111,455,0.0025394647,0.0004349144,
luk,syllable,regular,CVS,syllable,47,94,0.0030197893,0.0003379058,64,213,0.0044481512,0.0013558588,158,1885,0.0036147335,0.0018017880,
ji,syllable,regular,CV,syllable,220,2068,0.0141351838,0.0015816869,202,2126,0.0140394773,0.0135331262,477,14029,0.0109128346,0.0134096998,
je,syllable,regular,CV,syllable,20,673,0.0012850167,0.0001437897,46,1310,0.0031971087,0.0083388501,174,5831,0.0039807824,0.0055735947,
jyu,syllable,regular,CV,syllable,83,905,0.0053328193,0.0005967273,97,859,0.0067417292,0.0054679941,261,3093,0.0059711736,0.0029564617,
joe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ju,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jo,syllable,colloquial,CV,syllable,1,2,0.0000642508,0.0000071895,2,5,0.0001390047,0.0000318277,5,71,0.0001143903,0.0000678658,
jaa,syllable,regular,CV,syllable,16,64,0.0010280134,0.0001150318,20,147,0.0013900473,0.0009357336,38,499,0.0008693663,0.0004769720,
jei,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jeoi,syllable,regular,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,3,7,0.0000686342,0.0000066910,
jui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
joi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jai,syllable,regular,CVV,syllable,1,1,0.0000642508,0.0000071895,1,6,0.0000695024,0.0000381932,3,13,0.0000686342,0.0000124261,
jaai,syllable,colloquial,CVV,syllable,1,4,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jiu,syllable,regular,CVV,syllable,66,784,0.0042405551,0.0004745061,29,764,0.0020155685,0.0048632683,75,5806,0.0017158545,0.0055496983,
jeu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jou,syllable,impossible,CVV,syllable,1,2,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jau,syllable,regular,CVV,syllable,194,2361,0.0124646620,0.0013947603,129,2946,0.0089658048,0.0187528645,384,22659,0.0087851750,0.0216587347,
jaau,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jim,syllable,regular,CVN,syllable,18,52,0.0011565150,0.0001294107,28,73,0.0019460662,0.0004646840,72,346,0.0016472203,0.0003307261,
jip,syllable,regular,CVS,syllable,18,69,0.0011565150,0.0001294107,37,107,0.0025715874,0.0006811122,96,452,0.0021962938,0.0004320468,
jem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jam,syllable,regular,CVN,syllable,34,102,0.0021845284,0.0002444425,45,226,0.0031276063,0.0014386108,148,1483,0.0033859529,0.0014175340,
jap,syllable,regular,CVS,syllable,39,119,0.0025057826,0.0002803900,25,135,0.0017375591,0.0008593472,87,943,0.0019903912,0.0009013719,
jaam,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
jaap,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
jin,syllable,regular,CVN,syllable,71,406,0.0045618093,0.0005104535,65,283,0.0045176536,0.0018014462,118,1046,0.0026996111,0.0009998251,
jit,syllable,regular,CVS,syllable,13,26,0.0008352609,0.0000934633,11,37,0.0007645260,0.0002355248,41,178,0.0009380005,0.0001701423,
jen,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jet,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jyun,syllable,regular,CVN,syllable,117,458,0.0075173477,0.0008411699,86,431,0.0059772032,0.0027435453,380,2746,0.0086936628,0.0026247798,
jyut,syllable,regular,CVS,syllable,38,136,0.0024415317,0.0002732005,30,225,0.0020850709,0.0014322453,136,1619,0.0031114162,0.0015475304,
jeon,syllable,regular,CVN,syllable,5,13,0.0003212542,0.0000359474,0,0,0.0000000000,0.0000000000,13,27,0.0002974148,0.0000258081,
jeot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jan,syllable,regular,CVN,syllable,183,1560,0.0117579029,0.0013156760,162,1510,0.0112593828,0.0096119570,343,6178,0.0078471746,0.0059052766,
jat,syllable,regular,CVS,syllable,172,1209,0.0110511437,0.0012365916,185,2289,0.0128579372,0.0145707084,485,17074,0.0110958591,0.0163202805,
jaan,syllable,impossible,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jaat,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jing,syllable,regular,CVN,syllable,116,583,0.0074530969,0.0008339804,101,525,0.0070197387,0.0033419056,220,2196,0.0050331732,0.0020990592,
jik,syllable,regular,CVS,syllable,19,223,0.0012207659,0.0001366002,28,139,0.0019460662,0.0008848093,37,140,0.0008464882,0.0001338198,
jeng,syllable,regular,CVN,syllable,11,18,0.0007067592,0.0000790843,1,8,0.0000695024,0.0000509243,9,95,0.0002059025,0.0000908063,
jek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
joeng,syllable,regular,CVN,syllable,49,883,0.0031482909,0.0003522848,59,1233,0.0041006394,0.0078487040,151,3228,0.0034545871,0.0030855022,
joek,syllable,regular,CVS,syllable,27,73,0.0017347726,0.0001941161,19,40,0.0013205449,0.0002546214,66,683,0.0015099520,0.0006528495,
jang,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jak,syllable,colloquial,CVS,syllable,10,30,0.0006425084,0.0000718949,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jaang,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jaak,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jong,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jok,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
jung,syllable,regular,CVN,syllable,71,285,0.0045618093,0.0005104535,56,240,0.0038921323,0.0015277283,149,1358,0.0034088309,0.0012980521,
juk,syllable,regular,CVS,syllable,19,45,0.0012207659,0.0001366002,27,69,0.0018765638,0.0004392219,110,459,0.0025165866,0.0004387378,
m,syllable,colloquial,N,syllable,85,4008,0.0054613210,0.0288154603,76,3850,0.0052821796,0.0245073076,702,28663,0.0160603981,0.0273976924,
ng,syllable,regular,N,syllable,13,19,0.0008352609,0.0001366002,47,161,0.0032666111,0.0010248510,10,30,0.0002287806,0.0000286757,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
