OrthographicRepresentationTraditional,OrthographicRepresentationSimplified,PhonologicalRepresentationJyutping,NumberOfSyllables,PartOfSpeech,HKCACFrequency,HKCACProbability,HKCanCorFrequency,HKCanCorProbability,IARPAFrequency,IARPAProbability,TotalFrequency,TotalProbability,HKFrequency,HKProbability,,,,,,
因為,因为,jan1wai6,2,C,411,0.0041343513,340,0.0028338765,803,0.0009666023,1554,0.0014798126,751,0.0034231590,,,,,,
會,会,wui5,1,"VU, V, N, D",401,0.0040337588,792,0.0066012652,1280,0.0015407857,2473,0.0023549398,1193,0.0054378544,,,,,,
講,讲,gong2,1,V,397,0.0039935218,606,0.0050509681,4910,0.0059103576,5913,0.0056307153,1003,0.0045718089,,,,,,
自己,自己,zi6gei2,2,R,390,0.0039231071,304,0.0025338190,1460,0.0017574587,2154,0.0020511688,694,0.0031633453,,,,,,
要,要,jiu3,1,"VU, V",386,0.0038828701,610,0.0050843078,4859,0.0058489669,5855,0.0055754842,996,0.0045399019,,,,,,
如果,如果,jyu4gwo2,2,C,376,0.0037822776,320,0.0026671779,1576,0.0018970924,2272,0.0021635355,696,0.0031724616,,,,,,
吓,吓,haa5,1,"E, E, Y, U, U, Y, E, M, Y1, M, Y1",376,0.0037822776,141,0.0011752253,0,0.0000000000,517,0.0004923186,517,0.0023565555,,,,,,
畀,畀,bei2,1,###,373,0.0037520999,0,0.0000000000,3244,0.0039049287,3617,0.0034443256,373,0.0017001841,,,,,,
又,又,jau6,1,"D, C",363,0.0036515074,883,0.0073597440,6821,0.0082107024,8067,0.0076818841,1246,0.0056794355,,,,,,
做,做,zou6,1,V,359,0.0036112704,610,0.0050843078,3884,0.0046753215,4853,0.0046213194,969,0.0044168323,,,,,,
嘛,嘛,maa5,1,Y,357,0.0035911519,2,0.0000166699,8705,0.0104785464,9064,0.0086312877,359,0.0016363703,,,,,,
同,同,tung4,1,"C, P, V, A, B, CG",355,0.0035710334,271,0.0022587663,2989,0.0035979753,3615,0.0034424211,626,0.0028533922,,,,,,
嘞,嘞,laak3,1,"Y, Y1",355,0.0035710334,414,0.0034506614,919,0.0011062360,1688,0.0016074154,769,0.0035052054,,,,,,
